type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-12),-12,-0.0011700944110829485,0.004685498377987063,-0.014457063872090944,0.012116875049925046,-0.01035350248155843,0.008013313659392533
dynamic,ATT(-11),-11,0.002461006074311781,0.004660263000217166,-0.01075440180098723,0.015676413949610793,-0.006672941564598441,0.011594953713222002
dynamic,ATT(-10),-10,-0.0018196999420590707,0.0044924881035910665,-0.014559337739564894,0.010919937855446753,-0.010624814826072207,0.006985414941954066
dynamic,ATT(-9),-9,-0.0020827522224349773,0.004622398582158905,-0.015190785529264905,0.01102528108439495,-0.01114248696565544,0.0069769825207854855
dynamic,ATT(-8),-8,0.002449798712022053,0.005089920156453252,-0.01198401562787699,0.016883613051921098,-0.007526261478810795,0.0124258589028549
dynamic,ATT(-7),-7,-0.0050695406211424855,0.0048876002986086705,-0.01892962351228766,0.008790542270002689,-0.01464906117724269,0.00450997993495772
dynamic,ATT(-6),-6,4.508655191270655e-4,0.005330228871420376,-0.014664407717862451,0.015566138756116583,-0.009996191098212448,0.01089792213646658
dynamic,ATT(-5),-5,0.0019386823012278516,0.005276676689968551,-0.013024729566464499,0.016902094168920204,-0.00840341396917253,0.012280778571628235
dynamic,ATT(-4),-4,9.309243391082611e-4,0.006414585336403885,-0.017259328349965113,0.019121177028181637,-0.0116414318960021,0.01350328057421862
dynamic,ATT(-3),-3,-0.009323353365464967,0.007999231849598564,-0.032007290211218384,0.01336058348028845,-0.02500155969466387,0.0063548529637339375
dynamic,ATT(-2),-2,-0.004914709476961211,0.0055433668856160875,-0.020634391905276696,0.010804972951354276,-0.015779508925860705,0.005950089971938283
dynamic,ATT(-1),-1,0.009014959980402831,0.005528566318767932,-0.006662751527457114,0.024692671488262777,-0.0018208308905234994,0.01985075085132916
dynamic,ATT(0),0,-1.4110820889153258e-4,0.006943388978404381,-0.019830923436528612,0.019548707018745545,-0.013749900537216475,0.013467684119433412
dynamic,ATT(1),1,3.8684353409102964e-5,0.006573784768007866,-0.01860302041509934,0.01868038912191755,-0.012845697034004306,0.012923065740822512
dynamic,ATT(2),2,0.002087564330538795,0.005821071663022652,-0.014419623417149408,0.018594752078226997,-0.00932152648041228,0.013496655141489868
dynamic,ATT(3),3,-0.013130485034604194,0.008463717285679927,-0.0371315931407919,0.010870623071583515,-0.02971906608986595,0.0034580960206575615
dynamic,ATT(4),4,-0.01347741261519579,0.007332285481927074,-0.03427004669985672,0.007315221469465139,-0.027848428084138767,8.936028537471861e-4
dynamic,ATT(5),5,-0.00802551601949119,0.0074075913816697885,-0.029031699893181186,0.012980667854198807,-0.02254412833975327,0.006493096300770889
dynamic,ATT(6),6,0.002458189844975323,0.006655440240867919,-0.01641507060591537,0.021331450295866014,-0.010586233328384377,0.015502613018335025
dynamic,ATT(7),7,0.003144075420369675,0.006500374480212298,-0.015289455067971256,0.021577605908710606,-0.0095964244468697,0.01588457528760905
dynamic,ATT(8),8,0.011111040481751773,0.0064704835722933125,-0.007237726434255583,0.02945980739775913,-0.0015708742825011873,0.023792955246004735
dynamic,ATT(9),9,3.3856402153608907e-4,0.008205239281677454,-0.022929561364679232,0.02360668940775141,-0.01574340945508502,0.0164205374981572
