type,term,event.time,estimate,std.error,conf.low,conf.high,point.conf.low,point.conf.high
dynamic,ATT(-12),-12,0.14021924454172502,0.17194091573901735,-0.2946201008809679,0.5750585899644179,-0.196778757775585,0.47721724685903505
dynamic,ATT(-11),-11,-0.07519209558736066,0.0687269005424519,-0.24900273464532557,0.09861854347060424,-0.20989434541963264,0.05951015424491134
dynamic,ATT(-10),-10,-0.13150972350638837,0.06986209536492828,-0.30819127535094165,0.04517182833816491,-0.2684369143061504,0.005417467293373668
dynamic,ATT(-9),-9,0.11206887058155131,0.06264585099173195,-0.046362766947006404,0.270500508110109,-0.01071474114310611,0.23485248230620873
dynamic,ATT(-8),-8,-0.0183124008987665,0.051081656813833996,-0.14749813959606095,0.11087333779852794,-0.11843060852451616,0.08180580672698316
dynamic,ATT(-7),-7,5.07773434102134e-4,0.07122786374499192,-0.17962781275610584,0.1806433596243101,-0.13909627420180826,0.14011182107001252
dynamic,ATT(-6),-6,0.05011147744004327,0.04891404525589664,-0.07359236192611801,0.17381531680620455,-0.04575828959967641,0.14598124447976296
dynamic,ATT(-5),-5,0.15064123127742618,0.1762509655292964,-0.2950982493544388,0.5963807119092912,-0.19480431340040522,0.4960867759552576
dynamic,ATT(-4),-4,-0.22437795834747254,0.15991834479916966,-0.6288121680564738,0.18005625136152864,-0.5378121546211032,0.08905623792615819
dynamic,ATT(-3),-3,0.14782310439128454,0.20216097975082523,-0.36344291816666596,0.659089126949235,-0.24840513499966393,0.544051343782233
dynamic,ATT(-2),-2,0.048210619689365866,0.057222145397726,-0.09650444211824631,0.19292568149697803,-0.06394272440829148,0.16036396378702322
dynamic,ATT(-1),-1,-0.2976825931072743,0.22033497828366866,-0.8549107392922151,0.25954555307766647,-0.7295312150776797,0.13416602886313111
dynamic,ATT(0),0,0.12024048920285679,0.08936533459587906,-0.10576484194319488,0.3462458203489085,-0.05491234807143744,0.295393326477151
dynamic,ATT(1),1,0.04988335549623096,0.15166025682827766,-0.3336661127754485,0.4334328237679104,-0.24736528577328798,0.3471319967657499
dynamic,ATT(2),2,-0.2302660750717735,0.2491096668137831,-0.8602655373300152,0.39973338718646817,-0.718512050227561,0.257979900084014
dynamic,ATT(3),3,0.14489709724926653,0.13685406539085093,-0.20120744661229645,0.4910016411108295,-0.12333194205469072,0.4131261365532238
dynamic,ATT(4),4,0.15438681619562272,0.26387710394176006,-0.5129595606506927,0.8217331930419383,-0.36280280387495917,0.6715764362662047
dynamic,ATT(5),5,0.21939921506850887,0.2605464488019966,-0.43952392002305296,0.8783223501600708,-0.2912624408832135,0.7300608710202313
dynamic,ATT(6),6,0.12338742585432085,0.3434484480662223,-0.7451952364029912,0.9919700881116329,-0.54975916290165,0.7965340146102916
dynamic,ATT(7),7,-0.4004794290382424,0.28635790044316456,-1.124679840849042,0.3237209827725571,-0.9617306005953512,0.1607717425188664
dynamic,ATT(8),8,0.06484422618368678,0.36348820861110726,-0.8544190801792554,0.984107532546629,-0.6475795714990652,0.7772680238664388
